Chosen Levels
1-1: g2-4
1-2: c3-3
1-3: 5a-17
1-4: c1-1
1-5: i2-6
1-6: c4b-2
1-7: c5a-3
1-8: i5-2
1-9: 5b-18
1-10: 3d-15
2-1: 1d-5
2-2: 3-11
2-3: g1-7a
2-4: 4b-14
2-5: c5c-10
2-6: c4c-5
2-7: g4-10
2-8: 3d-9
2-9: c5c-1
2-10: 2-1
3-1: c1-4
3-2: i4-2
3-3: 1d-19
3-4: i1-2
3-5: g5-3
3-6: c5c-6
3-7: c5b-7
3-8: 2-2
3-9: g1-3
3-10: g0-3
4-1: g2-7
4-2: c3-10
4-3: g9-6
4-4: 1-20
4-5: g5-8
4-6: 5b-19
4-7: 3-1
4-8: c6-6
4-9: 4b-2
4-10: c5b-4
5-1: g0-5
5-2: 2-0
5-3: g1-3a
5-4: 4b-5
5-5: g1-1a
5-6: 7-12
5-7: 1d-4
5-8: c2-7
5-9: g9-0
5-10: 4c-4
6-1: g2-2
6-2: 2-11
6-3: 4a-13
6-4: 3d-8
6-5: 1d-8
6-6: 3-2
6-7: 4b-1
6-8: 2d-10
6-9: c2-2
6-10: 2-6
7-1: g3-1
7-2: c4a-5
7-3: g5-10
7-4: 2d-15
7-5: 7-11
7-6: c5c-3
7-7: 3-17
7-8: i4-6
7-9: 5b-10
7-10: 3d-2
8-1: c1-9
8-2: 5a-1
8-3: 5b-4
8-4: g9-9
8-5: 5a-15
8-6: 6-15
8-7: g4-3
8-8: 5a-7
8-9: g2-5
8-10: 1d-17
9-1: 1d-10
9-2: 3-18
9-3: 2-12
9-4: c1-6
9-5: g3-8
9-6: i4-5
9-7: 3d-6
9-8: 6-17
9-9: c4b-7
9-10: g1-6a
10-1: 2-14
10-2: c4b-4
10-3: 5a-9
10-4: 4a-14
10-5: i2-7
10-6: 4b-3
10-7: 2-18
10-8: 2d-16
10-9: c4a-9
10-10: 3-15
11-1: 3d-4
11-2: 6-20
11-3: 5c-16
11-4: 7-1
11-5: c5a-4
11-6: c5b-9
11-7: i3-3
11-8: 4a-15
11-9: 5b-17
11-10: g0-4
12-1: 4a-6
12-2: 1-12
12-3: 6-11
12-4: 5a-21
12-5: c4c-2
12-6: i1-4
12-7: c1-7
12-8: 1d-14
12-9: 6-5
12-10: c5b-10
13-1: 4c-10
13-2: c2-6
13-3: 5a-5
13-4: 1d-7
13-5: 1d-11
13-6: g3-4
13-7: g9-1
13-8: 3-3
13-9: 5a-12
13-10: g9-5
14-1: 2d-19
14-2: 6-12
14-3: 7-2
14-4: i1-6
14-5: g4-4
14-6: g0-10
14-7: c6-4
14-8: 7-4
14-9: g1-4
14-10: 5a-18
15-1: 1-9
15-2: 4c-11
15-3: 5b-9
15-4: i3-2
15-5: c5c-2
15-6: 1-17
15-7: 4a-9
15-8: g5-9
15-9: 3d-17
15-10: 1-11
16-1: c4a-10
16-2: c4c-8
16-3: g3-7
16-4: g3-2
16-5: i3-4
16-6: g0-2
16-7: 5c-18
16-8: g5-5
16-9: 4a-11
16-10: c6-10
17-1: c5b-8
17-2: c5a-6
17-3: g5-6
17-4: 5b-21
17-5: 2d-0
17-6: c3-5
17-7: 6-2
17-8: c5a-10
17-9: 5b-6
17-10: i2-5
18-1: 1-5
18-2: 1-16
18-3: 6-4
18-4: 4c-9
18-5: c4c-3
18-6: g9-8
18-7: 5c-10
18-8: 5c-14
18-9: c3-4
18-10: 5c-7
19-1: c6-1
19-2: g9-7
19-3: c2-4
19-4: 4a-8
19-5: 5c-20
19-6: c5b-3
19-7: 7-13
19-8: c2-1
19-9: g4-8
19-10: 3-4
20-1: 3d-13
20-2: i1-5
20-3: 1d-6
20-4: 3-6
20-5: 2d-9
20-6: 4c-5
20-7: 5c-2
20-8: g5-2
20-9: 2d-2
20-10: 3-13
