,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a-19.lvl,5a-20.lvl,5a-21.lvl,5a-22.lvl,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ax-13.lvl,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a-15.lvl,5a-16.lvl,5a-17.lvl,5a-18.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,5ax-10.lvl,5ax-11.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ax-12.lvl,5a-13.lvl,5a-12.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a-14.lvl,5a-11.lvl,5a-10.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,5ax-8.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ax-1.lvl,5a-5.lvl,5a-5x.lvl,5a-6.lvl,5a-9.lvl,5ax-9.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,5ax-6.lvl,..,..,5ax-7.lvl,5ax-14.lvl,,,,,,,,5b-18.lvl,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a-1.lvl,5a-2.lvl,5a-3.lvl,5a-4.lvl,5a-7.lvl,5a-8.lvl,5ax-5.lvl,,,,,,,,,..,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a-16.lvl,4a-15.lvl,,,5ax-2.lvl,5ax-3.lvl,5ax-4.lvl,,,,,5b-12.lvl,5b-11.lvl,5b-13.lvl,5b-15.lvl,5b-16.lvl,5b-17.lvl,,5bxu-13.lvl,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a-13.lvl,4a-14.lvl,,,,,,,,,,..,..,,,..,,,5bxu-12.lvl,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ax-8.lvl,4ax-7.lvl,4ax-6.lvl,4a-11.lvl,4a-12.lvl,4ax-9.lvl,,,,,,,,,,5b-14.lvl,5b-10.lvl,,,5b-19.lvl,,,5bxu-11.lvl,,,,,,,,,,,,,,
,,,,,,,,,,,1xu-4.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ax-4.lvl,4ax-3.lvl,4ax-5.lvl,4a-9.lvl,4a-10.lvl,,,,,,,,,,5bxu-2.lvl,5bxu-1.lvl,..,..,5bxu-6.lvl,5bxu-7.lvl,..,,5bxu-8.lvl,5bxu-9.lvl,5bxu-10.lvl,,,,,,,,,,,,,
,,,,,,,,,,,1xu-3.lvl,,,,,,,,,,,,,,,,,,,2xu-9.lvl,2xu-8.lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ax-1.lvl,4a-2.lvl,4a-3.lvl,4a-4.lvl,4a-5.lvl,4a-6.lvl,4a-7.lvl,4a-8.lvl,,,,,,,,,5bxu-5.lvl,5bxu-4.lvl,5bxu-3.lvl,5b-4.lvl,5b-5.lvl,5b-6.lvl,,,5b-20.lvl,5b-21.lvl,5b-22.lvl,5b-23.lvl,,,,,,,,,,,,,,
1-0.lvl,,,,,,,1xu-1.lvl,,,,1xu-2.lvl,1xu-5.lvl,,,1xu-6.lvl,1xu-7.lvl,,,,,,,2xu-1.lvl,,,,,2xu-2.lvl,2xu-7.lvl,,2xu-3.lvl,,,,,2xu-4.lvl,2xu-5.lvl,2xu-6.lvl,,,,3xu-2.lvl,3xu-1.lvl,,,,,,3xu-3.lvl,,,,,,,3xu-4.lvl,,,3xu-5.lvl,3xu-6.lvl,4a-1.lvl,,4ax-2.lvl,,,4bx-2.lvl,,,,,,,,,,..,,,..,..,..,,,5bxd-4.lvl,5bxd-5.lvl,5bxd-7.lvl,5bxd-8.lvl,,,,,,,,,,,,,,
