Chosen Levels
1-1: c5b-10
1-2: 5b-13
1-3: c2-3
1-4: 4b-5
1-5: 5a-4
1-6: c4c-2
1-7: 2-6
1-8: 5b-21
1-9: c4a-7
1-10: 1-20
2-1: 2d-1
2-2: 4a-2
2-3: 4c-6
2-4: 4a-7
2-5: 3d-19
2-6: c5a-2
2-7: c6-2
2-8: 2-0
2-9: c3-3
2-10: c6-9
3-1: c4b-8
3-2: 2-5
3-3: 1-19
3-4: 1d-12
3-5: 1-2
3-6: 1-3
3-7: 1d-6
3-8: 5b-7
3-9: 2-16
3-10: 5b-20
4-1: c5c-6
4-2: 5a-10
4-3: 1-9
4-4: c1-1
4-5: c4b-7
4-6: 3-20
4-7: c4a-5
4-8: c5c-3
4-9: 5b-6
4-10: 5c-18
5-1: 1d-20
5-2: 1d-16
5-3: c3-7
5-4: 1-11
5-5: 5b-17
5-6: 4b-11
5-7: c4b-10
5-8: 2-14
5-9: 1-5
5-10: c4b-3
6-1: c5a-6
6-2: 1-17
6-3: 5a-5
6-4: 5c-14
6-5: c1-5
6-6: c4b-6
6-7: 4b-12
6-8: 4a-9
6-9: 4b-8
6-10: 5a-11
7-1: 5b-4
7-2: c2-10
7-3: 4b-6
7-4: 4c-14
7-5: 2-19
7-6: 4b-15
7-7: 3-17
7-8: c2-2
7-9: 5b-16
7-10: 1d-10
8-1: 2-10
8-2: 1-12
8-3: c1-8
8-4: 4b-1
8-5: 5c-12
8-6: 4b-9
8-7: 4b-10
8-8: 1-16
8-9: 3-16
8-10: c1-10
9-1: 4a-8
9-2: 5c-9
9-3: 5b-22
9-4: 4b-2
9-5: 1d-14
9-6: c5b-7
9-7: 1-13
9-8: 2d-9
9-9: c6-4
9-10: 1-6
10-1: c4c-7
10-2: 3d-3
10-3: 3d-13
10-4: 3-5
10-5: 3-15
10-6: c4c-10
10-7: 5a-14
10-8: 4c-8
10-9: c5b-8
10-10: 2-9
11-1: 3-19
11-2: 3-2
11-3: c3-1
11-4: 1d-13
11-5: c3-4
11-6: c5a-3
11-7: 5b-12
11-8: c5c-4
11-9: 1-15
11-10: 5c-6
12-1: 2d-5
12-2: 4b-13
12-3: 2-3
12-4: 3d-9
12-5: 2-12
12-6: c5b-4
12-7: 4c-12
12-8: 1-14
12-9: c5b-5
12-10: 4a-13
13-1: 5b-3
13-2: 3d-7
13-3: c3-2
13-4: 4c-7
13-5: 3d-16
13-6: 1d-5
13-7: 5c-2
13-8: 3d-2
13-9: 3-12
13-10: 3d-6
14-1: 2-11
14-2: c5c-2
14-3: 3-9
14-4: 3-6
14-5: 2d-4
14-6: 3-3
14-7: c2-1
14-8: c4c-8
14-9: 2d-6
14-10: 3d-12
15-1: 2d-19
15-2: 2-18
15-3: 2d-2
15-4: 2d-16
15-5: 1d-4
15-6: 2d-15
15-7: 2d-14
15-8: 1-10
15-9: 2-7
15-10: 5a-16
16-1: 5c-21
16-2: 5a-13
16-3: 5c-19
16-4: c4a-2
16-5: c4a-6
16-6: 2d-10
16-7: 4c-5
16-8: 5c-3
16-9: c5a-1
16-10: 4b-7
17-1: 1d-17
17-2: c3-8
17-3: c4c-3
17-4: 5c-8
17-5: 5b-19
17-6: 3d-11
17-7: 4a-12
17-8: c5c-8
17-9: 3-8
17-10: c6-5
18-1: 5a-8
18-2: 2d-3
18-3: 1d-11
18-4: 5b-1
18-5: 3d-10
18-6: 5a-7
18-7: 3-4
18-8: 4a-11
18-9: c5a-8
18-10: 3-1
19-1: c5b-3
19-2: 4c-10
19-3: 3d-1
19-4: c5b-2
19-5: 4a-6
19-6: c4c-4
19-7: 1d-15
19-8: 4c-11
19-9: 5b-11
19-10: c6-7
20-1: c3-6
20-2: 5b-8
20-3: 1-7
20-4: 5a-19
20-5: 4a-3
20-6: c5a-10
20-7: 4b-3
20-8: 3-13
20-9: 5a-15
20-10: c5a-7
