Chosen Levels
1-1: 2d-6
1-2: 1-18
1-3: 3d-14
1-4: 3-9
1-5: i1-1
1-6: 2-16
1-7: c1-10
1-8: 7-3
1-9: 3-13
1-10: 3-7
2-1: 6-10
2-2: 4c-7
2-3: c1-5
2-4: 3-3
2-5: i1-3
2-6: 5a-1
2-7: i4-4
2-8: 5b-1
2-9: c6-5
2-10: 6-17
3-1: 1-17
3-2: 4a-2
3-3: 3d-3
3-4: 6-4
3-5: 2d-16
3-6: c1-2
3-7: 2-18
3-8: i4-6
3-9: 4b-15
3-10: c5c-9
4-1: c4b-8
4-2: c5b-2
4-3: 5a-6
4-4: 7-4
4-5: c4a-3
4-6: 3d-1
4-7: 5b-12
4-8: 7-1
4-9: 1d-12
4-10: i4-1
5-1: 5c-2
5-2: c5b-7
5-3: c2-4
5-4: 7-13
5-5: c5b-8
5-6: 1d-3
5-7: 7-7
5-8: 1-5
5-9: 1d-16
5-10: 5c-21
6-1: 2d-4
6-2: 1-14
6-3: 2d-3
6-4: 2d-8
6-5: 3-16
6-6: 2d-18
6-7: 6-14
6-8: c4c-6
6-9: c4b-1
6-10: c5c-5
7-1: 4a-13
7-2: 4c-5
7-3: 5a-7
7-4: c5a-6
7-5: 2d-9
7-6: 5c-4
7-7: 5b-15
7-8: 2d-19
7-9: 5c-6
7-10: 2d-7
8-1: c2-2
8-2: 1-7
8-3: i3-4
8-4: 4b-11
8-5: c5b-10
8-6: i2-4
8-7: 4b-3
8-8: c5c-3
8-9: 2d-5
8-10: 2d-15
9-1: 2d-12
9-2: c1-6
9-3: i2-7
9-4: c4a-9
9-5: 4a-4
9-6: c5a-1
9-7: 1-2
9-8: c6-2
9-9: 1-13
9-10: 4b-4
10-1: c4a-2
10-2: c5a-10
10-3: c6-3
10-4: 5b-6
10-5: i5-4
10-6: 1-12
10-7: 5c-12
10-8: 6-15
10-9: c3-9
10-10: 5a-12
